Goalie Name,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,OV,Age,Contract,Salary,Link
Andrei Vasilevsky,82,98,96,85,84,88,91,91,91,81,71,99,84,0,43,95,31,3,"9,500,000$",NHL Link
John Gibson,79,98,91,77,80,89,87,88,89,69,59,80,81,0,43,90,32,2,"6,400,000$",NHL Link
Jake Oettinger,78,95,92,89,78,89,89,88,87,69,79,78,60,0,43,90,27,8,"8,250,000$",NHL Link
Ilya Sorokin,82,96,90,69,83,91,92,90,92,70,73,67,60,0,43,90,30,7,"8,250,000$",NHL Link
Logan Thompson,84,98,97,75,83,90,91,90,92,72,84,60,52,0,43,90,29,6,"5,850,000$",NHL Link
Scott Wedgewood,91,88,88,70,90,87,88,87,89,74,79,75,51,0,43,90,33,1,"1,500,000$",NHL Link
Karel Vejmelka,75,99,97,86,77,89,89,88,86,77,60,56,56,0,43,89,30,5,"4,750,000$",NHL Link
Connor Hellebuyck,72,98,94,79,73,83,83,86,83,60,67,92,86,0,43,88,33,6,"8,500,000$",NHL Link
Jeremy Swayman,80,96,96,71,80,89,89,86,86,62,95,73,55,0,43,88,27,7,"8,250,000$",NHL Link
Filip Gustavsson,80,92,89,63,80,88,87,89,86,79,59,66,53,0,43,87,28,1,"3,750,000$",NHL Link
Darcy Kuemper,75,92,88,85,75,81,86,86,82,67,89,93,75,0,40,87,36,2,"5,250,000$",NHL Link
Igor Shestyorkin,82,93,93,65,81,85,88,88,88,63,76,72,61,0,43,87,30,8,"11,500,000$",NHL Link
Dan Vladar,81,93,93,83,81,85,84,86,86,61,88,67,48,0,43,87,28,2,"3,350,000$",NHL Link
Sergei Bobrovski,73,93,88,63,74,86,84,82,81,72,81,99,99,0,40,86,37,1,"10,000,000$",NHL Link
Linus Ullmark,74,91,88,85,76,86,82,83,85,67,76,83,63,0,40,86,32,4,"8,250,000$",NHL Link
Jet Greaves,82,96,94,59,80,86,89,87,88,71,76,46,41,0,43,85,25,1,"812,500$",NHL Link
Joel Hofer,83,88,87,71,83,86,89,87,87,62,63,47,44,0,43,85,25,2,"3,400,000$",NHL Link
Spencer Knight,78,96,91,70,78,83,88,88,88,69,82,52,47,0,43,85,25,1,"4,500,000$",NHL Link
Jacob Markstrom,72,87,83,84,71,81,80,80,80,92,73,82,82,0,40,85,36,1,"6,000,000$",NHL Link
Stuart Skinner,73,92,88,88,74,83,82,83,84,66,74,69,53,0,43,85,27,1,"2,600,000$",NHL Link
Jake Allen,74,81,81,69,75,77,81,80,79,70,76,94,75,0,43,84,35,5,"1,800,000$",NHL Link
Juuse Saros,71,99,90,50,71,87,85,86,84,60,96,85,73,0,43,84,31,8,"7,740,000$",NHL Link
Mackenzie Blackwood,75,83,82,86,77,81,80,83,80,61,60,64,59,0,43,83,29,5,"5,250,000$",NHL Link
Ukko-Pekka Luukkonen,76,80,81,88,78,80,82,82,82,71,78,54,50,0,43,83,27,4,"4,750,000$",NHL Link
Jesper Wallstedt,79,79,82,79,79,80,85,85,83,73,85,48,38,0,43,83,23,2,"2,200,000$",NHL Link
Joey Daccord,73,89,86,77,75,81,82,82,83,86,78,54,49,0,40,82,29,5,"5,000,000$",NHL Link
Frederik Andersen,69,79,77,88,69,75,74,72,75,63,77,99,80,0,40,81,36,1,"2,750,000$",NHL Link
Brandon Bussi,73,83,83,83,74,85,81,81,82,68,79,53,38,0,40,81,28,1,"775,000$",NHL Link
Jakub Dobes,75,86,86,76,76,85,80,81,81,60,76,52,40,0,43,81,25,2,"965,000$",NHL Link
Lukas Dostal,69,97,91,66,70,87,83,82,81,66,81,52,49,0,43,81,26,5,"6,500,000$",NHL Link
Philipp Grubauer,76,77,77,62,74,73,77,77,77,80,58,97,68,0,40,81,34,2,"5,900,000$",NHL Link
Alex Lyon,76,80,80,67,76,80,82,81,83,71,76,68,47,0,40,81,33,2,"1,500,000$",NHL Link
Dustin Wolf,74,98,91,50,75,85,84,87,85,60,80,46,45,0,43,81,25,1,"850,000$",Link / NHL Link
Anton Forsberg,77,80,80,67,78,77,82,80,83,62,78,67,53,0,40,80,33,2,"2,250,000$",NHL Link
Joseph Woll,70,84,82,78,69,78,82,79,81,69,67,66,45,0,40,80,27,3,"3,666,667$",NHL Link
Connor Ingram,73,86,77,74,75,76,78,78,78,78,57,62,46,0,40,79,29,1,"1,950,000$",NHL Link
Jonathan Quick,68,71,73,75,66,69,74,74,76,67,60,99,99,0,40,79,40,1,"1,550,000$",NHL Link
Arturs Silovs,68,83,82,77,70,79,80,77,79,84,67,56,40,0,40,79,25,1,"850,000$",NHL Link
Alex Nedeljkovic,73,83,82,65,74,77,78,79,77,68,69,61,53,0,40,78,30,1,"2,500,000$",NHL Link
Cam Talbot,67,78,74,73,67,72,73,73,73,65,75,95,81,0,40,78,38,1,"2,500,000$",NHL Link
Jordan Binnington,70,84,80,59,69,74,76,74,74,72,67,83,66,0,40,77,32,2,"6,000,000$",NHL Link
Casey DeSmith,78,75,78,59,75,74,76,78,76,62,69,74,53,0,40,77,34,2,"1,000,000$",NHL Link
Michael DiPietro,73,88,74,70,74,75,75,74,75,84,60,51,36,0,40,77,27,2,"812,500$",NHL Link
