Player Name,C,L,R,D,CON,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,OV,Age,Contract,Salary,Link
Nathan MacKinnon,X,,,,100.00,69,41,90,99,73,99,97,99,93,99,99,77,90,99,99,0,43,97,30,6,"12,600,000$",Link / NHL Link
Connor McDavid,X,,,,100.00,62,35,93,99,70,99,99,99,83,99,95,76,88,92,99,0,43,95,29,1,"12,500,000$",NHL Link
Leon Draisaitl,X,,,,100.00,69,36,88,95,81,99,86,99,95,99,89,72,89,95,96,0,43,94,30,8,"14,000,000$",NHL Link
Mark Scheifele,X,,,,100.00,68,47,90,94,82,99,99,95,90,99,90,74,77,99,99,0,43,94,33,6,"8,500,000$",NHL Link
Nick Suzuki,X,,,,100.00,72,35,91,99,75,99,99,99,95,99,82,82,82,68,89,0,43,94,26,5,"7,875,000$",NHL Link
Jack Eichel,X,,,,100.00,67,35,98,99,79,99,93,99,88,99,82,79,88,75,87,0,43,93,29,1,"10,000,000$",NHL Link
Nikita Kucherov,,,X,,100.00,60,35,85,88,54,98,94,99,55,99,96,74,89,99,98,0,43,93,33,2,"9,500,000$",Link / NHL Link
Martin Necas,X,,,,100.00,69,35,93,99,73,99,96,99,65,99,90,74,91,84,63,0,43,93,27,1,"6,500,000$",NHL Link
Cale Makar,,,,X,100.00,60,35,94,99,64,99,93,99,35,99,77,94,64,88,75,0,43,92,27,2,"9,000,000$",NHL Link
Charlie McAvoy,,,,X,100.00,77,36,72,85,82,99,89,93,35,96,70,93,69,96,81,0,43,92,28,5,"9,500,000$",NHL Link
Ryan O'Reilly,X,,,,100.00,70,38,91,84,82,98,98,90,98,93,83,88,96,99,99,0,43,92,35,2,"4,500,000$",NHL Link
Mikko Rantanen,,,X,,100.00,81,81,68,88,96,98,85,99,57,98,79,71,92,98,74,0,43,92,29,8,"12,000,000$",NHL Link
Mikhail Sergachyov,,,,X,100.00,71,38,80,95,85,99,96,92,35,93,68,91,62,90,84,0,43,92,28,6,"8,500,000$",NHL Link
Tim Stutzle,X,,,,100.00,73,36,91,99,70,98,97,98,81,93,87,80,89,55,74,0,43,92,24,6,"8,350,000$",NHL Link
Tage Thompson,X,,,,100.00,82,56,92,97,96,96,98,95,81,88,90,73,88,59,79,0,43,92,28,5,"7,142,857$",NHL Link
Sidney Crosby,X,,,,100.00,69,35,83,91,71,96,88,93,99,92,85,71,99,99,99,0,43,91,38,2,"8,700,000$",Link / NHL Link
Filip Forsberg,,X,,,100.00,80,35,87,82,82,96,99,93,56,83,90,77,93,99,97,0,43,91,31,5,"8,500,000$",NHL Link
Miro Heiskanen,,,,X,100.00,61,35,87,86,73,99,95,98,35,97,69,96,62,83,80,0,43,91,26,4,"8,450,000$",NHL Link
David Pastrnak,,,X,,100.00,71,35,78,80,72,99,95,99,55,99,83,73,77,99,95,0,43,91,30,6,"11,250,000$",NHL Link
Jason Robertson,,X,,,100.00,69,35,89,86,82,98,99,99,55,94,95,73,99,73,60,0,43,91,26,1,"7,750,000$",NHL Link
