thl_name,contract_name,reason
Mikhail Sergachyov,Mikhail Sergachev,translitterering
Sergei Bobrovski,Sergei Bobrovsky,translitterering
Vasili Podkolzin,Vasily Podkolzin,translitterering
Andrey Kuzmenko,Andrei Kuzmenko,translitterering
Arseni Gritsyuk,Arseny Gritsyuk,translitterering
Dmitri Kulikov,Dmitry Kulikov,translitterering
Louie Belpedio,Louis Belpedio,namnvariant
Dmitri Orlov,Dmitry Orlov,translitterering
Phil Di-Giuseppe,Phillip Di Giuseppe,namnvariant
Igor Shestyorkin,Igor Shesterkin,translitterering
Alexander Ovechkin,Alex Ovechkin,namnvariant
Artyom Zub,Artem Zub,translitterering
Matt Dumba,Mathew Dumba,namnvariant
Mitchell Marner,Mitch Marner,namnvariant
Josh Brown,Joshua Brown,namnvariant
Josh Dunne,Joshua Dunne,namnvariant
Mitch Gibson,Mitchell Gibson,namnvariant
Matt Benning,Matthew Benning,namnvariant
Matthew Murray,Matt Murray,namnvariant
Matt Kessel,Matthew Kessel,namnvariant
Nate Clurman,Nathan Clurman,namnvariant
Artyom Guryev,Artem Guryev,translitterering
Vincent Borgesi,Vinny Borgesi,namnvariant
Nick Robertson,Nicholas Robertson,namnvariant
Ben Gleason,Benjamin Gleason,namnvariant
Zac Jones,Zachary Jones,namnvariant
Nick Abruzzese,Nicholas Abruzzese,namnvariant
Yevgeni Malkin,Evgeni Malkin,translitterering
Mike Matheson,Michael Matheson,namnvariant
Egor Chinakhov,Yegor Chinakhov,translitterering
Mikey Anderson,Michael Anderson,namnvariant
Nick Paul,Nicholas Paul,namnvariant
JJ Peterka,John-Jason Peterka,namnvariant
Tony DeAngelo,Anthony DeAngelo,namnvariant
Tommy Novak,Thomas Novak,namnvariant
Emil Lilleberg,Emil Martinsen-Lilleberg,namnvariant
Yevgeni Dadonov,Evgenii Dadonov,translitterering
Mike Benning,Michael Benning,namnvariant
Jake Christiansen,Jacob Christiansen,namnvariant
Yegor Afanasyev,Egor Afanasyev,translitterering
Jake Lucchini,Jacob Lucchini,namnvariant
Ronnie Attard,Ronald Attard,namnvariant
Sammy Walker,Samuel Walker,namnvariant
Oasiz Wiesblatt,Ozzy Wiesblatt,namnvariant
Cal Burke,Callahan Burke,namnvariant
Zack Hayes,Zachary Hayes,namnvariant
Ben Kraws,Benjamin Kraws,namnvariant
Alexei Protas,Aliaksei Protas,translitterering
Mats Zuccarello,Mats Zuccarello-Aasen,fullständigt namn
Cam York,Cameron York,namnvariant
Teodors Blugers,Theodor Blueger,translitterering
